Date,Close
14-Oct-14,"$14,036.68"
15-Oct-14,"$13,869.88"
16-Oct-14,"$14,052.97"
17-Oct-14,"$14,227.68"
20-Oct-14,"$14,337.77"
21-Oct-14,"$14,547.71"
22-Oct-14,"$14,312.07"
23-Oct-14,"$14,486.83"
24-Oct-14,"$14,543.82"
27-Oct-14,"$14,469.00"
28-Oct-14,"$14,624.25"
29-Oct-14,"$14,527.57"
30-Oct-14,"$14,458.69"
31-Oct-14,"$14,613.32"
3-Nov-14,"$14,537.62"
4-Nov-14,"$14,390.43"
5-Nov-14,"$14,548.26"
6-Nov-14,"$14,563.38"
7-Nov-14,"$14,690.83"
10-Nov-14,"$14,709.80"
11-Nov-14,"$14,760.27"
12-Nov-14,"$14,856.20"
13-Nov-14,"$14,778.77"
14-Nov-14,"$14,843.10"
17-Nov-14,"$14,882.50"
18-Nov-14,"$14,972.97"
19-Nov-14,"$14,980.15"
20-Nov-14,"$15,075.18"
21-Nov-14,"$15,111.13"
24-Nov-14,"$15,015.41"
25-Nov-14,"$15,073.65"
26-Nov-14,"$15,038.41"
27-Nov-14,"$14,922.44"
28-Nov-14,"$14,744.70"
1-Dec-14,"$14,625.32"
2-Dec-14,"$14,620.07"
3-Dec-14,"$14,754.06"
4-Dec-14,"$14,469.95"
5-Dec-14,"$14,473.70"
8-Dec-14,"$14,144.17"
9-Dec-14,"$14,195.73"
10-Dec-14,"$13,852.95"
11-Dec-14,"$13,905.12"
12-Dec-14,"$13,731.05"
15-Dec-14,"$13,705.14"
16-Dec-14,"$13,861.52"
17-Dec-14,"$14,213.88"
18-Dec-14,"$14,346.75"
19-Dec-14,"$14,468.26"
22-Dec-14,"$14,432.38"
23-Dec-14,"$14,594.03"
24-Dec-14,"$14,609.25"
29-Dec-14,"$14,663.92"
30-Dec-14,"$14,640.04"
31-Dec-14,"$14,632.44"
2-Jan-15,"$14,753.65"
5-Jan-15,"$14,392.70"
6-Jan-15,"$14,246.77"
7-Jan-15,"$14,285.00"
8-Jan-15,"$14,457.72"
9-Jan-15,"$14,384.92"
12-Jan-15,"$14,265.01"
13-Jan-15,"$14,187.16"
14-Jan-15,"$14,084.43"
15-Jan-15,"$14,041.82"
16-Jan-15,"$14,309.41"
19-Jan-15,"$14,312.50"
20-Jan-15,"$14,308.44"
21-Jan-15,"$14,560.42"
22-Jan-15,"$14,763.98"
23-Jan-15,"$14,779.35"
26-Jan-15,"$14,797.83"
27-Jan-15,"$14,833.88"
28-Jan-15,"$14,602.88"
29-Jan-15,"$14,637.28"
30-Jan-15,"$14,673.48"
2-Feb-15,"$14,900.47"
3-Feb-15,"$15,062.88"
4-Feb-15,"$14,995.65"
5-Feb-15,"$15,124.92"
6-Feb-15,"$15,083.92"
9-Feb-15,"$15,100.70"
10-Feb-15,"$15,112.52"
11-Feb-15,"$15,151.50"
12-Feb-15,"$15,228.52"
13-Feb-15,"$15,264.81"
17-Feb-15,"$15,284.61"
18-Feb-15,"$15,212.75"
19-Feb-15,"$15,180.33"
20-Feb-15,"$15,172.24"
23-Feb-15,"$15,200.26"
24-Feb-15,"$15,164.97"
25-Feb-15,"$15,228.57"
26-Feb-15,"$15,241.16"
27-Feb-15,"$15,234.34"
2-Mar-15,"$15,264.05"
3-Mar-15,"$15,133.85"
4-Mar-15,"$15,082.84"
5-Mar-15,"$15,103.11"
6-Mar-15,"$14,952.50"
9-Mar-15,"$14,854.49"
10-Mar-15,"$14,641.76"
11-Mar-15,"$14,739.20"
12-Mar-15,"$14,770.72"
13-Mar-15,"$14,731.50"
16-Mar-15,"$14,862.76"
17-Mar-15,"$14,898.53"
18-Mar-15,"$14,962.24"
19-Mar-15,"$14,873.93"
20-Mar-15,"$14,942.41"
23-Mar-15,"$14,957.21"
24-Mar-15,"$15,081.26"
25-Mar-15,"$14,929.37"
26-Mar-15,"$14,869.80"
27-Mar-15,"$14,812.42"
30-Mar-15,"$14,908.39"
31-Mar-15,"$14,902.44"
1-Apr-15,"$14,942.55"
2-Apr-15,"$15,026.62"
6-Apr-15,"$15,100.65"
7-Apr-15,"$15,188.84"
8-Apr-15,"$15,213.60"
9-Apr-15,"$15,326.31"
10-Apr-15,"$15,388.43"
13-Apr-15,"$15,383.59"
14-Apr-15,"$15,389.28"
15-Apr-15,"$15,450.87"
16-Apr-15,"$15,386.77"
17-Apr-15,"$15,360.55"
20-Apr-15,"$15,412.60"
21-Apr-15,"$15,346.44"
22-Apr-15,"$15,304.77"
23-Apr-15,"$15,392.35"
24-Apr-15,"$15,408.33"
27-Apr-15,"$15,344.08"
28-Apr-15,"$15,346.07"
29-Apr-15,"$15,347.34"
30-Apr-15,"$15,224.52"
1-May-15,"$15,339.77"
4-May-15,"$15,367.47"
5-May-15,"$15,173.94"
6-May-15,"$15,023.89"
7-May-15,"$15,088.82"
8-May-15,"$15,170.02"
11-May-15,"$15,152.64"
12-May-15,"$15,043.15"
13-May-15,"$14,980.72"
14-May-15,"$15,028.12"
15-May-15,"$15,108.12"
19-May-15,"$15,121.02"
20-May-15,"$15,072.83"
21-May-15,"$15,203.61"
22-May-15,"$15,200.76"
25-May-15,"$15,187.40"
26-May-15,"$15,050.81"
27-May-15,"$15,110.47"
28-May-15,"$15,107.00"
29-May-15,"$15,014.09"
1-Jun-15,"$15,074.13"
2-Jun-15,"$15,104.74"
3-Jun-15,"$15,154.68"
4-Jun-15,"$15,019.39"
5-Jun-15,"$14,957.16"
8-Jun-15,"$14,743.33"
9-Jun-15,"$14,817.71"
10-Jun-15,"$14,889.04"
11-Jun-15,"$14,830.88"
12-Jun-15,"$14,741.15"
15-Jun-15,"$14,756.05"
16-Jun-15,"$14,753.05"
17-Jun-15,"$14,732.98"
18-Jun-15,"$14,770.64"
19-Jun-15,"$14,653.12"
22-Jun-15,"$14,790.48"
23-Jun-15,"$14,904.91"
24-Jun-15,"$14,947.51"
25-Jun-15,"$14,897.50"
26-Jun-15,"$14,808.09"
29-Jun-15,"$14,490.15"
30-Jun-15,"$14,553.33"
2-Jul-15,"$14,637.99"
3-Jul-15,"$14,682.39"
6-Jul-15,"$14,593.57"
7-Jul-15,"$14,624.50"
8-Jul-15,"$14,412.07"
9-Jul-15,"$14,278.49"
10-Jul-15,"$14,411.07"
13-Jul-15,"$14,533.22"
14-Jul-15,"$14,599.40"
15-Jul-15,"$14,662.28"
16-Jul-15,"$14,731.08"
17-Jul-15,"$14,642.84"
20-Jul-15,"$14,425.55"
21-Jul-15,"$14,376.24"
22-Jul-15,"$14,307.12"
23-Jul-15,"$14,265.37"
24-Jul-15,"$14,186.24"
27-Jul-15,"$14,001.37"
28-Jul-15,"$14,077.36"
29-Jul-15,"$14,301.80"
30-Jul-15,"$14,382.78"
31-Jul-15,"$14,468.44"
4-Aug-15,"$14,491.05"
5-Aug-15,"$14,502.99"
6-Aug-15,"$14,405.91"
7-Aug-15,"$14,302.70"
10-Aug-15,"$14,466.39"
11-Aug-15,"$14,414.67"
12-Aug-15,"$14,339.53"
13-Aug-15,"$14,238.40"
14-Aug-15,"$14,277.88"
17-Aug-15,"$14,251.53"
18-Aug-15,"$14,193.87"
19-Aug-15,"$14,036.63"
20-Aug-15,"$13,737.00"
21-Aug-15,"$13,473.67"
24-Aug-15,"$13,052.74"
25-Aug-15,"$13,150.93"
26-Aug-15,"$13,381.59"
27-Aug-15,"$13,766.67"
28-Aug-15,"$13,865.07"
31-Aug-15,"$13,859.12"
1-Sep-15,"$13,481.90"
2-Sep-15,"$13,545.25"
3-Sep-15,"$13,596.41"
4-Sep-15,"$13,478.31"
8-Sep-15,"$13,630.67"
9-Sep-15,"$13,531.85"
10-Sep-15,"$13,569.89"
11-Sep-15,"$13,461.47"
14-Sep-15,"$13,353.34"
15-Sep-15,"$13,462.71"
16-Sep-15,"$13,763.78"
17-Sep-15,"$13,787.16"
18-Sep-15,"$13,646.90"
21-Sep-15,"$13,779.44"
22-Sep-15,"$13,491.09"
23-Sep-15,"$13,383.69"
24-Sep-15,"$13,338.67"
25-Sep-15,"$13,378.57"
28-Sep-15,"$13,004.58"
29-Sep-15,"$13,036.96"
30-Sep-15,"$13,306.96"
1-Oct-15,"$13,241.89"
2-Oct-15,"$13,339.74"
5-Oct-15,"$13,552.20"
6-Oct-15,"$13,647.26"
7-Oct-15,"$13,868.35"
8-Oct-15,"$13,978.66"
9-Oct-15,"$13,964.36"
13-Oct-15,"$13,844.73"
14-Oct-15,"$13,875.33"
15-Oct-15,"$13,828.97"
16-Oct-15,"$13,838.10"
19-Oct-15,"$13,758.38"
20-Oct-15,"$13,841.92"
21-Oct-15,"$13,704.19"
22-Oct-15,"$13,878.11"
23-Oct-15,"$13,953.66"
26-Oct-15,"$13,790.90"
27-Oct-15,"$13,699.60"
28-Oct-15,"$13,863.16"
29-Oct-15,"$13,791.88"
30-Oct-15,"$13,529.17"
2-Nov-15,"$13,623.01"
3-Nov-15,"$13,710.31"
4-Nov-15,"$13,661.82"
5-Nov-15,"$13,558.78"
6-Nov-15,"$13,553.30"
9-Nov-15,"$13,482.62"
10-Nov-15,"$13,411.63"
11-Nov-15,"$13,341.93"
12-Nov-15,"$13,127.18"
13-Nov-15,"$13,075.42"
16-Nov-15,"$13,317.52"
17-Nov-15,"$13,280.39"
18-Nov-15,"$13,399.97"
19-Nov-15,"$13,473.83"
20-Nov-15,"$13,433.49"
23-Nov-15,"$13,382.38"
24-Nov-15,"$13,407.83"
25-Nov-15,"$13,403.42"
26-Nov-15,"$13,425.19"
27-Nov-15,"$13,368.24"
30-Nov-15,"$13,469.83"
1-Dec-15,"$13,636.06"
2-Dec-15,"$13,463.82"
3-Dec-15,"$13,324.67"
4-Dec-15,"$13,358.77"
7-Dec-15,"$13,042.83"
8-Dec-15,"$12,922.47"
9-Dec-15,"$12,937.59"
10-Dec-15,"$13,016.59"
11-Dec-15,"$12,789.95"
14-Dec-15,"$12,695.49"
15-Dec-15,"$12,919.57"
16-Dec-15,"$13,166.08"
17-Dec-15,"$13,009.93"
18-Dec-15,"$13,024.30"
21-Dec-15,"$13,034.38"
22-Dec-15,"$13,082.86"
23-Dec-15,"$13,284.91"
24-Dec-15,"$13,309.80"
29-Dec-15,"$13,245.75"
30-Dec-15,"$13,142.29"
31-Dec-15,"$13,009.95"
