Date,Open,High,Low,Close,Adj Close,Volume
3/06/2019,165.830002,167.5,162.289993,163.869995,163.869995,1634900
4/06/2019,165.399994,169.360001,165.020004,169,169,1273600
5/06/2019,170.139999,173.820007,169.380005,173.520004,173.520004,1814500
6/06/2019,173.509995,173.539993,169.710007,170.380005,170.380005,1685700
7/06/2019,171.660004,172.800003,169.589996,172.490005,172.490005,1846600
10/06/2019,174.339996,176.380005,170.979996,171.350006,171.350006,1930900
11/06/2019,172.309998,173.940002,170.309998,171.630005,171.630005,2016200
12/06/2019,171.929993,173.449997,169.289993,170.889999,170.889999,5307100
13/06/2019,181.990005,182.889999,172.5,174.520004,174.520004,11076700
14/06/2019,173.039993,177.720001,171.600006,176.710007,176.710007,3635700
17/06/2019,177.740005,184.679993,177.089996,183.339996,183.339996,3987500
18/06/2019,185.570007,188.800003,184.449997,188.029999,188.029999,3034100
19/06/2019,188.100006,189,186.089996,187.100006,187.100006,1827600
20/06/2019,189.199997,190.520004,185.369995,186.5,186.5,2366000
21/06/2019,184.600006,184.800003,180.850006,181.869995,181.869995,4115900
24/06/2019,182.160004,184.309998,181.550003,182.639999,182.639999,2053200
25/06/2019,182.639999,182.889999,175.169998,177.259995,177.259995,2708600
26/06/2019,178.080002,180.740005,177.029999,177.309998,177.309998,1944500
27/06/2019,177.720001,180.690002,177.089996,180.110001,180.110001,1410700
28/06/2019,181,181.110001,178.649994,180.210007,180.210007,3067000
1/07/2019,182.330002,183.830002,179.309998,179.949997,179.949997,1813300
2/07/2019,179.949997,182.699997,179.589996,180.860001,180.860001,1859500
3/07/2019,181.509995,184.470001,180.800003,183.990005,183.990005,1178800
5/07/2019,183.199997,183.460007,180.699997,183.210007,183.210007,1511700
8/07/2019,181.860001,186.949997,181.600006,186.800003,186.800003,1882900
9/07/2019,184.929993,186.5,183.899994,186.050003,186.050003,2323100
10/07/2019,187,187.320007,183.160004,183.869995,183.869995,1467000
11/07/2019,183.710007,184.410004,181.600006,183.070007,183.070007,1244600
12/07/2019,185,190.520004,184.610001,189.520004,189.520004,3094500
15/07/2019,189.720001,191.440002,186.75,189.169998,189.169998,1815400
16/07/2019,189.320007,191.139999,187.669998,190.179993,190.179993,1430100
17/07/2019,190.330002,190.960007,188.990005,190.380005,190.380005,959700
18/07/2019,189.559998,190.5,187.100006,189.389999,189.389999,1114900
19/07/2019,190.100006,190.550003,187.880005,187.940002,187.940002,952800
22/07/2019,189.460007,189.660004,186.080002,187.75,187.75,970100
23/07/2019,189,189.839996,186.710007,189.070007,189.070007,1040800
24/07/2019,189.070007,192.419998,189.070007,192.210007,192.210007,1067800
25/07/2019,192.949997,193.710007,190.699997,191.210007,191.210007,1017100
26/07/2019,192.25,192.740005,189.809998,190.610001,190.610001,899000
29/07/2019,190.669998,192.339996,188.679993,192.089996,192.089996,841800
30/07/2019,190.979996,193.460007,189.460007,191.770004,191.770004,1075500
31/07/2019,191,194.25,189.039993,191.089996,191.089996,1256800
1/08/2019,191.279999,192.149994,184.070007,185.449997,185.449997,1662300
2/08/2019,184.600006,184.889999,177.600006,178.929993,178.929993,1937700
5/08/2019,173.600006,176.550003,172.119995,174.460007,174.460007,2364500
6/08/2019,176.5,180.460007,175.820007,179.630005,179.630005,1371900
7/08/2019,177.440002,181.589996,176.020004,181.360001,181.360001,1009300
8/08/2019,182.600006,186.880005,182.259995,186.350006,186.350006,1481200
9/08/2019,185.350006,186,180.940002,182.820007,182.820007,950700
12/08/2019,182,182.050003,177.660004,178.820007,178.820007,965400
13/08/2019,177.619995,183.720001,176.419998,179.589996,179.589996,1677500
14/08/2019,176.050003,176.860001,174.009995,174.679993,174.679993,1770800
15/08/2019,176.199997,176.350006,172.440002,175.440002,175.440002,1136600
16/08/2019,177.509995,179.539993,176.179993,177.830002,177.830002,977600
19/08/2019,179.949997,181.029999,177.369995,178.669998,178.669998,1181500
20/08/2019,178.839996,180.600006,177.240005,179.669998,179.669998,1039200
21/08/2019,182,183.529999,179.910004,183.330002,183.330002,971300
22/08/2019,183.880005,185.119995,180.779999,183.970001,183.970001,1070600
23/08/2019,183,184.119995,178.830002,180.029999,180.029999,1654100
26/08/2019,182.979996,182.979996,180.160004,182.350006,182.350006,805400
27/08/2019,182.949997,183.800003,179.800003,180.110001,180.110001,1428400
28/08/2019,179.25,183.080002,178.529999,182.699997,182.699997,893100
29/08/2019,184.830002,187.199997,184.160004,186.059998,186.059998,1423100
30/08/2019,187.479996,187.740005,182.589996,184.669998,184.669998,1239900
3/09/2019,183.529999,184.259995,178.259995,179.539993,179.539993,2558300
4/09/2019,180.649994,181.860001,179.990005,180.699997,180.699997,2098900
5/09/2019,184,188.949997,183.880005,188.410004,188.410004,5871700
6/09/2019,197.789993,204.440002,197.75,203.139999,203.139999,10969400
9/09/2019,203.509995,203.759995,194.059998,194.389999,194.389999,3878600
10/09/2019,194.289993,194.289993,190.899994,193.259995,193.259995,2538300
11/09/2019,193.020004,198.779999,192,196.410004,196.410004,2173600
12/09/2019,198.169998,201.550003,196.880005,198.729996,198.729996,2322500
13/09/2019,198.800003,199.419998,194.860001,195.179993,195.179993,1512700
16/09/2019,194.160004,194.910004,192.119995,193.699997,193.699997,1310800
17/09/2019,193.5,197.330002,193.380005,195.470001,195.470001,1201900
18/09/2019,195.460007,197.160004,192.649994,195.360001,195.360001,1410500
19/09/2019,195.699997,196.059998,193.169998,193.610001,193.610001,1319300
20/09/2019,194.080002,196.039993,189.179993,189.300003,189.300003,2431000
23/09/2019,190.699997,195.869995,190.699997,195.179993,195.179993,2339800
24/09/2019,196.449997,196.789993,190.740005,193.850006,193.850006,2009300
25/09/2019,193.940002,195.100006,190.570007,193.020004,193.020004,1335000
26/09/2019,192.360001,193.929993,189.639999,191.539993,191.539993,962400
27/09/2019,192.679993,192.960007,188.550003,189.720001,189.720001,1117900
30/09/2019,190.320007,193.410004,190.050003,192.529999,192.529999,1213300
1/10/2019,193.410004,194.070007,191.320007,192.690002,192.690002,1317200
2/10/2019,190.919998,191.75,187.119995,189.130005,189.130005,1351900
3/10/2019,188.759995,190.300003,185.360001,190.149994,190.149994,1382800
4/10/2019,190.449997,193.429993,189.949997,193.119995,193.119995,1193700
7/10/2019,191.919998,193.399994,190.809998,191.660004,191.660004,1162200
8/10/2019,190.059998,194.240005,188.940002,191.369995,191.369995,1150500
9/10/2019,193.850006,194.5,192,192.160004,192.160004,904300
10/10/2019,192.279999,198.220001,191.610001,198.130005,198.130005,2435700
11/10/2019,199.550003,202.979996,199.550003,201.619995,201.619995,2285700
14/10/2019,201.889999,205.110001,201.240005,203.039993,203.039993,1826100
15/10/2019,203.399994,205.399994,202.309998,203.889999,203.889999,2059300
16/10/2019,202.360001,203.929993,201.669998,203.080002,203.080002,1440000
17/10/2019,204.800003,205.649994,204.229996,204.960007,204.960007,1308200
18/10/2019,203.699997,209.020004,203.309998,207.110001,207.110001,2358000
21/10/2019,207.160004,207.649994,203,205.279999,205.279999,1563400
22/10/2019,206.419998,207.169998,203.960007,204.399994,204.399994,1038300
23/10/2019,204.050003,206.419998,203.5,205.460007,205.460007,1067700
24/10/2019,205.220001,206.880005,204.910004,206.839996,206.839996,835800
25/10/2019,206.350006,208.059998,205,208,208,993400
28/10/2019,203.899994,207.529999,203,205.970001,205.970001,2423600
29/10/2019,206.130005,207.479996,204.660004,205.580002,205.580002,1179100
30/10/2019,205.770004,206.110001,204.300003,205.850006,205.850006,1283400
31/10/2019,205.350006,207.399994,203.149994,204.270004,204.270004,1802500
1/11/2019,205.179993,205.660004,199.229996,200.690002,200.690002,2010400
4/11/2019,203.889999,204,194.149994,196.479996,196.479996,2671000
5/11/2019,197,197.889999,191.210007,194.339996,194.339996,2104600
6/11/2019,196.979996,200.899994,194.289993,200.740005,200.740005,2484500
7/11/2019,202,203.550003,200.899994,202.820007,202.820007,1791400
8/11/2019,202.580002,204.309998,202.270004,204.130005,204.130005,1302600
11/11/2019,203.25,207.190002,202.690002,207.190002,207.190002,1262500
12/11/2019,207.179993,208.740005,206.669998,207.809998,207.809998,1726900
13/11/2019,207.589996,211.309998,206.960007,211.110001,211.110001,1721800
14/11/2019,210.039993,213.639999,210,213.220001,213.220001,1252800
15/11/2019,214.309998,216.050003,212.259995,215.910004,215.910004,1492700
18/11/2019,214.5,219.080002,213.960007,218.460007,218.460007,2023600
19/11/2019,217.789993,219.970001,216.509995,216.880005,216.880005,1731000
20/11/2019,216.839996,218.059998,215.330002,217.039993,217.039993,1534600
21/11/2019,216.979996,218.899994,216.509995,216.740005,216.740005,978000
22/11/2019,218,220,215.110001,219.899994,219.899994,1998500
25/11/2019,222.029999,226.660004,222,222.160004,222.160004,1812900
26/11/2019,223.259995,225.009995,220.25,222.839996,222.839996,1522000
27/11/2019,223.889999,229.649994,223.039993,228.830002,228.830002,1772500
29/11/2019,228.740005,228.839996,225.570007,225.690002,225.690002,783500
2/12/2019,226.25,227,222.809998,225.529999,225.529999,1420100
3/12/2019,222.570007,223.990005,220.899994,223.190002,223.190002,1465000
4/12/2019,225,226.330002,223.479996,225.580002,225.580002,1555500
5/12/2019,227.5,230.820007,226.279999,230.789993,230.789993,1388900
6/12/2019,232.559998,233.119995,229.059998,229.380005,229.380005,1921700
9/12/2019,232.029999,233.529999,230.229996,230.880005,230.880005,2131300
10/12/2019,231.669998,231.699997,227.070007,229.649994,229.649994,2920200
11/12/2019,229.899994,235.5,228,233.190002,233.190002,5272000
12/12/2019,226.050003,228.820007,218.179993,224.470001,224.470001,11270200
13/12/2019,220.429993,225.5,218.809998,223.550003,223.550003,5234700
16/12/2019,224.720001,227.320007,223.759995,225.350006,225.350006,2771000
17/12/2019,225.830002,226.440002,221.460007,222.979996,222.979996,2310300
